title,publication-date,event-date,country,location,lat_long,diseases,syndromes,url,Translated_Content
ચિંતાજનક / કોરોના બાદ ચીનમાંથી ઝડપથી ફેલાઈ રહ્યો છે ...,2020-09-20,2020-09-20,China,,"36.567, 103.93",brucellosis,Febrile syndromes,https://www.vtvgujarati.com/news-details/malta-fever-or-brucellosis-spreading-rapidly-in-china-after-coronavirus-malta-fever,Error: Skipped due to repeated failures
"China - 6 new COVID-19 coronavirus cases - all imported, none from Jilin province - September 21, 2020",2020-09-22,2020-09-22,China,,"36.567, 103.93",covid19,,https://flutrackers.com/forum/forum/china-other-health-threats/china-covid-19-sept-13-2020-may-31-2021/893720-china-6-new-covid-19-coronavirus-cases-all-imported-none-from-jilin-province-september-21-2020,No content found
"China Eastern Airlines has suspended two flights indefinitely from the Philippines after 8 passengers tested positive in China - September 21, 2020",2020-09-22,2020-09-22,China,,"36.567, 103.93",covid19,,https://flutrackers.com/forum/forum/china-other-health-threats/china-covid-19-sept-13-2020-may-31-2021/893722-china-eastern-airlines-has-suspended-two-flights-indefinitely-from-the-philippines-after-8-passengers-tested-positive-in-china-september-21-2020,No content found
"China - Outer packaging of imported seafood tested positive for COVID-19, suspected persons under observation in Changchun, Jilin province - September 20, 2020",2020-09-20,2020-09-20,China,,"36.567, 103.93",covid19,,https://flutrackers.com/forum/forum/china-other-health-threats/china-covid-19-sept-13-2020-may-31-2021/893714-china-outer-packaging-of-imported-seafood-tested-positive-for-covid-19-suspected-persons-under-observation-in-changchun-jilin-province-september-20-2020,No content found
[REUTERS] CHINA - Mainland China reports 12 new COVID-19 cases,2020-09-21,2020-09-21,China,,"36.567, 103.93",covid19,,http://outbreaks.globalincidentmap.com/eventdetail.php?ID=36770,Error 404: Page not found
"China - 7 new COVID-19 coronavirus cases, and as usual, all imported - no new deaths, no new suspected cases reported for September 23, 2020",2020-09-24,,China,,"36.567, 103.93",covid19,,https://news.sina.com.cn/c/2020-09-24/doc-iivhuipp6115149.shtml,"Original title: As of 24:00 on September 23, the latest of the new coronary virus pneumonia epidemic.All are overseas input cases (2 cases in Liaoning, 2 cases in Shanghai, 1 case in Jiangsu, 1 case in Guangxi, 1 case in Shaanxi); no new death cases; no suspected cases.There were 8 cases of newly cured hospitals that day, and 583 close contacts of medical observations were lifted, and severe cases were the same as the previous day.There were 167 existing confirmed cases overseas (3 cases of severe cases), and there were no suspected cases.A total of 2,765 confirmed cases, and a total of 2,598 cases of hospitalization were cured, and there were no death cases.As of 24:00 on September 23, according to the reports of 31 provinces (autonomous regions, municipalities) and Xinjiang Production and Construction Corps, there were 167 confirmed cases (including 3 cases of severe cases), 80,513 cases were cured, and 4,634 cases accumulated deaths were cumulative.A total of 8,5314 cases were reported, and there were no suspected cases.A total of 828,788 people were tracked to close contact, and 6,865 close contacts who were observed in medical observations.31 provinces (autonomous regions, municipalities) and Xinjiang Production and Construction Corps report 20 cases of new asymptomatic infections (all of them are overseas input); there are no cases of diagnosis on the day; 3 cases of medical observations were lifted on the same day;402 patients with asymptomatic infection were observed (all inputs overseas).A total of 5,604 cases were notified in Hong Kong, Macao and Taiwan.Among them, 5049 cases of the Hong Kong Special Administrative Region (4749 cases were discharged from the hospital, 104 deaths), and 46 cases of 46 cases of the Macau Special Administrative Region (46 cases were discharged), and 509 cases in Taiwan (480 cases were discharged from hospital and 7 deaths).Editor -in -chief: Zhu Xuesen SN240 Scan the left QR code download, more exciting content will be seen with you.(Official Weibo: Sina News) illegal and bad information Report Tel: 4000520066 Report Email: jubao@vip.sina.com Copyright"
"1 new confirmed case and 7 asymptomatic infections in Yunnan, all imported from abroad",2020-09-23,,China,Yunnan,"25, 102",covid19,,http://www.bjnews.com.cn/news/2020/09/22/771281.html,"Beijing News Quick News According to the report of the Yunnan Health Committee, from 00:00 on September 21 to 24, there are no new local diagnosis cases and asymptomatic infections in Yunnan Province; 1 new overseas aviation input diagnosis cases, overseas airlines enter asymptomatic without symptoms7 infected people were entered in Chinese and Indonesia.As of 24:00 on September 21, Yunnan Province has an existing overseas input of 11 confirmed cases and 16 asymptomatic infected infected.Newly confirmed cases and asymptomatic infected information: Certificate of diagnosis: Male, 51 years old, Chinese.Asymptomatic infection 1: Male, 55 years old, Chinese.Asymptomatic infection 2: Male, 47 years old, Chinese.Announced asymptomatic infection 3: Male, 39 years old, Chinese.Asymptomatic infection 4: Male, 26 years old, Chinese.Asymptomatic infection 5: Male, 20 years old, Chinese.Symptoms 6: Male, 51 years old, Chinese.Asymptomatic infection 7: Male, 47 years old, Chinese.The eight are working in Indonesia. On September 18, they took the opportunity to enter from Kunming Airport from Jakarta on September 18. When entering the country, the body temperature was normal. After the customs were sampling, the closed -loop management requirements were transferred directly to the specified isolation point to be separated from the specified isolation point.On the 19th, the results of the eight -person nucleic acid or serum antibody detection were positive, that is, the negative pressure ambulance was transferred to a designated medical institution to quarantine and observed.The sampling review on the 21st. According to the history of epidemiology, the results of laboratory testing and clinical performance, experts diagnosed 1 people with new crown pneumonia diagnostic cases (ordinary, Indonesia inputs), and seven people with asymptomatic infections (Indonesia input).Other personnel of the same machine continue to focus on medical observation as required.Edit Jia Congcong wants to comment, read more exciting content, come and download the Beijing News Client, Sina.com | NetEase | Sohu | UC Headline | Xinhua.comLongwang | Shell Finance | Tencent.com | Baidu Business License Number: Beijing ICP Certificate No. 090533 | Beijing ICP No. 18053894 | Guoxin Office Network Word [2006] No. 7 | Radio and TV program production and operation license: (Beijing)Word No. 02592 | Jinggong.com Anmi 11010102004542 Regarding our copyright statement contact us job opportunity friendship link service agreement Copy Right © 2004-2020 www.bjnews.com.cn all rights reserved"
"China - More imported frozen seafood samples test positive for COVID-19 coronavirus - 2 human cases confirmed & asymptomatic - 4,341 contacts being investigated -  Qingdao, Shandong province - September 24, 2020",2020-09-25,2020-09-25,China,"Shandong, Qingdao","36.099, 120.372",covid19,,https://flutrackers.com/forum/forum/china-other-health-threats/china-covid-19-sept-13-2020-may-31-2021/894083-china-more-imported-frozen-seafood-samples-test-positive-for-covid-19-coronavirus-2-human-cases-confirmed-asymptomatic-4-341-contacts-being-investigated-qingdao-shandong-province-september-24-2020,No content found
"More than 240 students from 4 schools in Harbin have vomiting and diarrhea. The lunch samples have been sent for inspection, and local departments have launched investigation",2020-09-24,2020-09-24,China,"Heilongjiang, Hulan","45.983, 126.6",,Acute gastroenteritis,http://www.sohu.com/a/420457429_115362,"Editor: Peng Shuiping According to CCTV News, at 10 o'clock on September 23rd, Xingfu Primary School, Jianguo Primary School, Shenjia Middle School, and Yaobao No. 1 Middle School in Harbin City, Harbin City, Heilongjiang Province.Symptoms, suspected food hygiene problems.Source: After the CCTV video screenshot occurred, Hulan District immediately formed a special class to carry out emergency disposal.The Education Bureau of Hulan District is responsible for the guidance of students and their families; the District Health and Health Bureau is responsible for guiding the hospital to form a special treatment class, and experienced medical staff to participate in medical treatment;Control the work to avoid secondary incidents; the District Education Bureau, District Health and Health Bureau, District Market Supervision Bureau, Public Security Branch and other relevant departments enter the incident school to conduct investigation.As of 0:00 on the 24th, most students were checked and treated with outpatients in the hospital. The health status was stable and went home to observe. Only two people continued to observe the treatment in the hospital's outpatient clinic.The 4 schools and related samples have been sent to the Harbin Centers for Disease Control and Prevention. The cause of the accident is under investigation.According to earlier reports from upstream news, according to student parents, on September 22 and 23, many students such as Xingfu Primary School, Shenjia Middle School, and Liaoning Baozhong had symptoms such as vomiting and diarrhea.On the morning of the 23rd, many students from Jianguo Primary School in Hulan District were taken from the campus for medical treatment because of physical discomfort.According to the doctor of the First People's Hospital of Hulan District, the clinical symptoms of medical students include diarrhea, vomiting, and some students have stomach pain.The Propaganda Department of the Hulan District Party Committee told reporters that at 10 o'clock on the 23rd, 4 schools in Holan District Xingfu Primary School, Jianguo Primary School, Shenjia Middle School, and Yao Fort No. 1 were successively discovered that students had symptoms of vomiting and diarrhea.Up to now, more than 40 students with obvious symptoms are in the hospital for treatment; more than 200 students with mild symptoms have contacted the school with their families, and their families have decided to go home to observe.The 4 school lunch samples and related samples have been sent to the Municipal Center for Disease Control and Prevention.Source: Daily Economic News Comprehensive CCTV News, Upstream News Daily Economic News Return to Sohu, see more responsible editors:"
The cause of student vomiting and diarrhea in 4 schools in Harbin is under investigation,2020-09-24,2020-09-24,China,"Heilongjiang, Hulan Ergi","47.204, 123.633",,Acute gastroenteritis,http://www.chinanews.com/shipin/cns/2020/09-24/news868899.shtml,"China News Network APP China New Video China News Network Release time: September 24, 2020 16:28 Source: China News Network [Explanation] On September 24th, the Propaganda Department of Harbin City Committee of Harbin City issued a notice, September 23On the day, four schools including Hulian District Happy Primary School successively appeared symptoms such as vomiting and diarrhea.After the incident, Hulan District immediately organized students to go to the hospital for examination and treatment. The Harbin Health and Health Commission organized experts to go to Hulan District Traditional Chinese Medicine Hospital for on -site consultation.As of 2:45 am on September 24, the last two outpatient students left the hospital to go home to observe.At noon on the 24th, the reporter encountered students who came to the hospital after I was unwell at home and came to the hospital at the entrance of Hulan District Hospital of Harbin. They introduced the current physical condition to the reporter.[At the same time] Students who are diagnosed are a little nauseous, dizzy, and want to vomit that feeling.[At the same time] The parents of the students are now let us go home to observe. The director who was looking for this just said that my child could not see it in this county. I have to check this problem for a large hospital. I don’t know why.His arms are numb, you can't lift it, and your stomach is not strong or uncomfortable.[Explanation] During the interview, the students who came to the doctor told reporters that they were eating at school at the school at noon and noon on the 22nd and at noon on the 23rd.[At the same time] Students of the doctor (do you remember what you eat?) Remember, the cabbage fungus carrots are fried together, as well as minced tofu, and potatoes (stewed) meat.[At the same time] Students in the clinic have west blue flowers, persimmon fried eggs, and a meat. I don't know what the meat is, anyway, it is sour.[Explanation] According to the publicity department of Hulan District, Harbin City, the student's meals on that day have been sent to the Harbin CDC for testing and testing. The relevant investigation and treatment results will be announced to the society as soon as possible.Reporter Fan Yingjie Heilongjiang Harbin ReportEditor -in -chief: [Li Ji] Takeaway brothers have been paralyzed for 3 years due to spinalitis for 3 years.The thickest naphta core dog nose sweeps you to identify your pet brother and sister ""excavator"" excavator writing calligraphy to open the bottle capOnline dissemination audiovisual program license (0106168)] [Beijing ICP Certificate No. 040655] [Jinggong Net An Bei 11000002003042] [Beijing ICP No. 05004340 -1] Sader: 86-10-87826688 illegal and bad information Report Tel: 156997888000The information published on this website does not represent the views of China News Agency and China News.The journals use this website manuscript and authorize in writing.Reprinting, extracting, copying, and establishing mirrors without authorization, offenders will investigate legal responsibilities in accordance with the law.Copyright r 1999-2024chinanews.com. All rights reserved Copyright © 1999-2024chinanews.com. All rights reserved"
